iter	RMSE
126	1.567353301
127	1.565608763
128	1.563598272
129	1.562238914
130	1.561021651
131	1.559325341
132	1.557932986
133	1.556426474
134	1.554944491
135	1.553730874
136	1.552560919
137	1.551542233
138	1.550250955
139	1.549082631
140	1.548010113
141	1.546115877
142	1.544689895
143	1.543130624
144	1.54168322
145	1.540244936
146	1.539236933
147	1.537577416
148	1.536289063
149	1.534760114
150	1.533256898
151	1.532131042
152	1.53075646
153	1.529525083
154	1.52804009
155	1.526616827
156	1.525405921
157	1.523991563
158	1.522552742
159	1.52158012
160	1.520300573
161	1.519151707
162	1.517637519
163	1.516072022
164	1.514369482
165	1.512702657
166	1.511277604
167	1.509953888
168	1.508685434
169	1.507428908
170	1.50584925
171	1.50433687
172	1.503181226
173	1.501996622
174	1.500593053
175	1.499169141
176	1.497806048
177	1.496636928
178	1.495228257
179	1.493819191
180	1.492458976
181	1.491296843
182	1.489672742
183	1.488326993
184	1.487161938
185	1.485658373
186	1.484223419
187	1.483038763
188	1.481697619
189	1.480502735
190	1.479334363
191	1.477923101
192	1.476561169
193	1.47520883
194	1.473909178
195	1.472731958
196	1.47160917
197	1.470744868
198	1.469525708
199	1.468402514
200	1.467163811
201	1.466004134
202	1.465049921
203	1.463591165
204	1.462379414
205	1.460871016
206	1.45967477
207	1.458748911
208	1.457619381
209	1.456555192
210	1.455482408
211	1.45448663
212	1.45344038
213	1.452514015
214	1.451703044
215	1.450708033
216	1.449674551
217	1.44876648
218	1.447635921
219	1.446389121
220	1.445249999
221	1.444279802
222	1.443228969
223	1.442027138
224	1.441142686
225	1.440061478
226	1.438683574
227	1.437865556
228	1.436828823
229	1.435768065
230	1.434919515
231	1.434067209
232	1.432963557
233	1.432203564
234	1.431181479
235	1.430215123
236	1.42929197
237	1.428352098
238	1.427293128
239	1.426529675
240	1.425412239
241	1.424232594
242	1.423432623
243	1.422341298
244	1.421271783
245	1.420388816
246	1.419415562
247	1.418582458
248	1.417822085
249	1.416933205
250	1.415922272
251	1.41497802
252	1.414154914
253	1.413262412
254	1.412321932
255	1.411656545
256	1.410908538
257	1.410215006
258	1.409352833
259	1.408434466
260	1.407565257
261	1.406894239
262	1.405804343
263	1.405052028
264	1.404384168
265	1.403702814
266	1.402754577
267	1.401821349
268	1.400971177
269	1.400033387
270	1.399312336
271	1.3984338
272	1.397559879
273	1.396914501
274	1.396208867
275	1.395412067
276	1.394488933
277	1.393678761
278	1.392810646
279	1.391918976
280	1.391127912
281	1.390170278
282	1.389184042
283	1.388375657
284	1.387533613
285	1.386775625
286	1.385818362
287	1.385054737
288	1.384127589
289	1.383350717
290	1.382801433
291	1.382013059
292	1.381142265
293	1.380508265
294	1.379898401
295	1.37890354
296	1.378233724
297	1.377276926
298	1.376523718
299	1.375547344
300	1.37481282
301	1.374067958
302	1.373304161
303	1.372410166
304	1.371661539
305	1.371083968
306	1.370099753
307	1.36945627
308	1.368871238
309	1.368329986
310	1.367586949
311	1.366875709
312	1.366204994
313	1.365470372
314	1.36468401
315	1.363878969
316	1.363136855
317	1.362461732
318	1.361778164
319	1.361248855
320	1.360508754
321	1.359636715
322	1.359047002
323	1.358445906
324	1.357690192
325	1.357162816
326	1.356305657
327	1.355642189
328	1.354912992
329	1.354317124
330	1.353427988
331	1.352716934
332	1.352208232
333	1.351325424
334	1.350605154
335	1.350040001
336	1.349474973
337	1.348956393
338	1.348401708
339	1.347645357
340	1.34700377
341	1.346244581
342	1.345642182
343	1.344745262
344	1.343948443
345	1.343386569
346	1.342710761
347	1.342053868
348	1.34142938
349	1.340795191
350	1.340020098
351	1.339521943
352	1.338793242
353	1.338321533
354	1.337741746
355	1.336952086
356	1.336325205
357	1.335821694
358	1.33509588
359	1.334394943
360	1.333721902
361	1.332912714
362	1.332335552
363	1.331675442
364	1.33108053
365	1.330580802
366	1.329872925
367	1.329230593
368	1.328673338
369	1.328166349
370	1.327643308
371	1.327030162
372	1.326495769
373	1.325828811
374	1.32525574
375	1.324847471
376	1.324222995
377	1.323531919
378	1.322868479
379	1.322279946
380	1.321724656
381	1.320957929
382	1.320288631
383	1.319525972
384	1.31892889
385	1.31828833
386	1.317840924
387	1.317364067
388	1.316672973
389	1.315970289
390	1.315449643
391	1.314894767
392	1.314381215
393	1.313715543
394	1.31315285
395	1.31264568
396	1.312066344
397	1.311562962
398	1.310943752
399	1.310383816
400	1.309932445
401	1.3092999
402	1.308719883
403	1.308162246
404	1.307736782
405	1.307243173
406	1.306763389
407	1.306127611
408	1.305611767
409	1.30509456
410	1.304623894
411	1.303999217
412	1.303547388
413	1.302878516
414	1.302421207
415	1.301819319
416	1.301343904
417	1.300797986
418	1.300090562
419	1.299601713
420	1.299039478
421	1.298264752
422	1.297754849
423	1.297279444
424	1.296665564
425	1.296252229
426	1.295828736
427	1.295327373
428	1.294787279
429	1.294247676
430	1.293684802
431	1.293298973
432	1.292737836
433	1.292190572
434	1.29173099
435	1.29113478
436	1.29062651
437	1.29000155
438	1.289373361
439	1.288920627
440	1.288414357
441	1.287871859
442	1.287265015
443	1.28671114
444	1.28622589
445	1.285904674
446	1.285357297
447	1.284938201
448	1.284436548
449	1.283798949
450	1.283277572
451	1.282783056
452	1.28238371
453	1.281881141
454	1.281330941
455	1.280808144
456	1.280272958
457	1.279796608
458	1.279312624
459	1.278792761
460	1.278345876
461	1.277854194
462	1.277198383
463	1.276777874
464	1.276323555
465	1.2757729
466	1.275327304
467	1.274725998
468	1.274190915
469	1.273780452
470	1.273264394
471	1.272676928
472	1.272142933
473	1.271757219
474	1.271305695
475	1.270894656
476	1.270404815
477	1.269890852
478	1.269382323
479	1.268830733
480	1.268414739
481	1.268050923
482	1.267770138
483	1.267339563
484	1.266787473
485	1.266214001
486	1.265831101
487	1.265382437
488	1.265037344
489	1.264516555
490	1.264154834
491	1.263572428
492	1.263108697
493	1.262631661
494	1.262225305
495	1.261747132
496	1.261399565
497	1.260975805
498	1.260543612
499	1.260042896
500	1.259530076
501	1.259071421
502	1.258615833
503	1.258255335
504	1.257786808
505	1.257223684
506	1.256809031
507	1.25636721
508	1.255941992
509	1.255492927
510	1.255044099
511	1.254479207
512	1.254134583
513	1.253721556
514	1.253418219
515	1.253075632
516	1.252633886
517	1.252196981
518	1.251779867
519	1.251370175
520	1.251012479
521	1.250620926
522	1.250134005
523	1.24973904
524	1.249336729
525	1.248914444
526	1.248383623
527	1.247997246
528	1.247434492
529	1.246925574
530	1.246526097
531	1.246090138
532	1.245740764
533	1.245197876
534	1.244943919
535	1.244426397
536	1.244021712
537	1.243664367
538	1.24327367
539	1.242782938
540	1.242516394
541	1.242200984
542	1.241924778
543	1.241540668
544	1.241122385
545	1.240634099
546	1.240172434
547	1.239752149
548	1.239385325
549	1.238924105
550	1.238489712
551	1.237978985
552	1.237649594
553	1.23716252
554	1.236750585
555	1.236374543
556	1.236005758
557	1.235647369
558	1.235219906
559	1.234763772
560	1.234337394
561	1.233942291
562	1.233522608
563	1.233099841
564	1.232722697
565	1.232243681
566	1.231850214
567	1.231343938
568	1.230968643
569	1.230397221
570	1.229949305
571	1.229462394
572	1.229131889
573	1.228835891
574	1.22839477
575	1.228101592
576	1.227810156
577	1.227325975
578	1.226962905
579	1.226539854
580	1.226151262
581	1.225798727
582	1.225409916
583	1.225057704
584	1.224751686
585	1.224408126
586	1.224030601
587	1.223699016
588	1.223283363
589	1.222891213
590	1.222500795
591	1.222125421
592	1.221725993
593	1.22138128
594	1.221011819
595	1.220535444
596	1.220026713
597	1.219650201
598	1.219296072
599	1.219023829
600	1.218645805
601	1.218326563
602	1.217922721
603	1.217541218
604	1.217140447
605	1.216750189
606	1.216459112
607	1.215998093
608	1.215720259
609	1.215308708
610	1.214978453
611	1.214523014
612	1.214132991
613	1.213795856
614	1.21350435
615	1.213152391
616	1.212679072
617	1.212333539
618	1.21197437
619	1.211551242
620	1.211257442
621	1.210775083
622	1.210514582
623	1.210252313
624	1.209781691
625	1.209470816
626	1.208957134
627	1.208579887
628	1.208189261
629	1.207834123
630	1.207412398
631	1.207006871
632	1.20653973
633	1.206276229
634	1.205833988
635	1.205380524
636	1.205102676
637	1.204796085
638	1.204513552
639	1.204259152
640	1.20396046
641	1.203530101
642	1.203181928
643	1.202764638
644	1.202276885
645	1.20184505
646	1.201552658
647	1.201169323
648	1.200879108
649	1.200562282
650	1.200259811
651	1.199953803
652	1.199585663
653	1.199216583
654	1.198825711
655	1.198494961
656	1.198194642
657	1.197857252
658	1.197440553
659	1.1971375
660	1.196797209
661	1.196484781
662	1.196204347
663	1.195823048
664	1.1956192
665	1.195325249
666	1.195050317
667	1.194637943
668	1.194277987
669	1.193869283
670	1.193515021
671	1.193209781
672	1.192913605
673	1.192674624
674	1.192304177
675	1.19194382
676	1.191598788
677	1.19115514
678	1.190754879
679	1.19048202
680	1.190223038
681	1.189916695
682	1.189628527
683	1.189257918
684	1.188982422
685	1.188661624
686	1.188393372
687	1.188133895
688	1.187883987
689	1.187600993
690	1.187341905
691	1.187014298
692	1.186634458
693	1.186438699
694	1.186197158
695	1.185898121
696	1.18555123
697	1.185238425
698	1.184974898
699	1.184695712
700	1.184414357
701	1.184163173
702	1.183893211
703	1.183614877
704	1.183218547
705	1.182946606
706	1.182645761
707	1.182232118
708	1.181860769
709	1.181659956
710	1.181413466
711	1.18110436
712	1.180729742
713	1.180355131
714	1.179976321
715	1.179560194
716	1.179282036
717	1.178972989
718	1.178714964
719	1.178424473
720	1.178098225
721	1.177870523
722	1.1774997
723	1.177315592
724	1.177029362
725	1.176665634
726	1.17640897
727	1.175774962
728	1.175507832
729	1.175276393
730	1.1749705
731	1.174638579
732	1.174391351
733	1.1741334
734	1.173899889
735	1.173600188
736	1.173294661
737	1.172913306
738	1.172626613
739	1.172341583
740	1.171917241
741	1.171569429
742	1.171183588
743	1.170996922
744	1.170726989
745	1.170442407
746	1.170044979
747	1.169611294
748	1.169279707
749	1.168969126
750	1.16870218
751	1.168362383
752	1.168012861
753	1.167729536
754	1.167368481
755	1.167138478
756	1.16686006
757	1.166573122
758	1.166238448
759	1.166003988
760	1.16571716
761	1.1655003
762	1.165142437
763	1.164719653
764	1.164217502
765	1.163879942
766	1.163620159
767	1.163251231
768	1.162984576
769	1.162643304
770	1.162411766
771	1.162197876
772	1.16185103
773	1.161469642
774	1.161223594
775	1.160873882
776	1.160660121
777	1.16038573
778	1.1601028
779	1.159933432
780	1.159567978
781	1.159271855
782	1.15893213
783	1.15847881
784	1.158183145
785	1.157882247
786	1.157598754
787	1.157181575
788	1.156944054
789	1.156685054
790	1.156403349
791	1.156146932
792	1.155819197
793	1.155481988
794	1.154958894
795	1.154574299
796	1.154299565
797	1.154002549
798	1.153635662
799	1.153395178
800	1.153116011
801	1.152889715
802	1.152581861
803	1.152376069
804	1.152142192
805	1.151784239
806	1.151623259
807	1.151311201
808	1.150996031
809	1.150673942
810	1.15041104
811	1.150161727
812	1.149949504
813	1.149670477
814	1.14921478
815	1.149032222
816	1.148760306
817	1.14850739
818	1.148292774
819	1.147974535
820	1.147760178
821	1.147488184
822	1.14719869
823	1.147007533
824	1.146772012
825	1.146515485
826	1.146251397
827	1.145895083
828	1.145632737
829	1.145371292
830	1.145051727
831	1.144781232
832	1.144545021
833	1.144282087
834	1.143969262
835	1.143674931
836	1.143348389
837	1.143112314
838	1.142698329
839	1.142349885
840	1.142105208
841	1.141858464
842	1.141614203
843	1.141323197
844	1.141042185
845	1.140745377
846	1.140424323
847	1.140044769
848	1.139859125
849	1.139604655
850	1.139333032
851	1.139082033
852	1.138836021
853	1.138577222
854	1.138326682
855	1.138068857
856	1.13778065
857	1.137562816
858	1.137241045
859	1.136971191
860	1.136770597
861	1.136431555
862	1.136200351
863	1.135942302
864	1.135780185
865	1.135557829
866	1.135292935
867	1.13498239
868	1.134753699
869	1.134528765
870	1.134258633
871	1.133913607
872	1.133713866
873	1.133508503
874	1.133207009
875	1.132951513
876	1.13271852
877	1.132498928
878	1.132224582
879	1.131915794
880	1.131695017
881	1.131462308
882	1.131170961
883	1.130928092
884	1.130700874
885	1.130492373
886	1.130251664
887	1.129986946
888	1.129758159
889	1.129501992
890	1.129131608
891	1.128815061
892	1.128594861
893	1.128342308
894	1.128063323
895	1.127745213
896	1.127483978
897	1.127106086
898	1.12686962
899	1.126622459
900	1.126443055
901	1.126219561
902	1.125967099
903	1.125718718
904	1.125420474
905	1.125116474
906	1.124974731
907	1.124570883
908	1.124336368
909	1.124130787
910	1.123867771
911	1.123578933
912	1.12333623
913	1.12294883
914	1.122519212
915	1.122331567
916	1.122017475
917	1.121654103
918	1.121402223
919	1.121188828
920	1.121003888
921	1.12079829
922	1.120525192
923	1.12024206
924	1.12003225
925	1.119814379
926	1.119591786
927	1.119310244
928	1.119081399
929	1.118873931
930	1.118514966
931	1.118241755
932	1.117904205
933	1.117641267
934	1.117401662
935	1.117122835
936	1.116884581
937	1.116671904
938	1.116453421
939	1.11613958
940	1.115939133
941	1.115699887
942	1.115483221
943	1.115261474
944	1.115019174
945	1.114823561
946	1.114565552
947	1.114321652
948	1.114054897
949	1.113799463
950	1.113408307
951	1.113157511
952	1.112964637
953	1.112564379
954	1.112299233
955	1.112007031
956	1.11178216
957	1.111504011
958	1.111282595
959	1.110964481
960	1.110710092
961	1.110497579
962	1.11022471
963	1.109956819
964	1.109706203
965	1.109510857
966	1.109217655
967	1.108977032
968	1.108767025
969	1.108579596
970	1.108269203
971	1.108018856
972	1.107772397
973	1.107530209
974	1.107328028
975	1.107086507
976	1.106853745
977	1.106603633
978	1.106367578
979	1.10611613
980	1.105786562
981	1.10560906
982	1.10543587
983	1.105205831
984	1.104993009
985	1.104775791
986	1.104586741
987	1.104380013
988	1.104128147
989	1.103939599
990	1.103542659
991	1.103355433
992	1.103140465
993	1.10293827
994	1.102698202
995	1.102573622
996	1.102371911
997	1.102069738
998	1.101878765
999	1.1016653
