iter	Passed	Remaining
388	13919	21863
389	13958	21832
390	13993	21795
391	14025	21754
392	14061	21719
393	14100	21687
394	14133	21648
395	14171	21615
396	14206	21578
397	14243	21544
398	14281	21512
399	14315	21473
400	14349	21434
401	14384	21398
402	14423	21367
403	14459	21331
404	14491	21290
405	14525	21251
406	14564	21220
407	14599	21183
408	14637	21151
409	14674	21116
410	14714	21086
411	14752	21054
412	14791	21022
413	14830	20991
414	14868	20959
415	14906	20926
416	14939	20887
417	14975	20851
418	15016	20822
419	15051	20786
420	15086	20748
421	15122	20713
422	15155	20673
423	15189	20635
424	15225	20599
425	15258	20558
426	15293	20522
427	15329	20486
428	15363	20449
429	15406	20422
430	15441	20385
431	15474	20346
432	15511	20311
433	15544	20271
434	15578	20233
435	15612	20195
436	15652	20165
437	15694	20137
438	15735	20108
439	15777	20081
440	15815	20047
441	15850	20010
442	15886	19974
443	15920	19936
444	15954	19897
445	15985	19856
446	16019	19818
447	16055	19782
448	16090	19745
449	16126	19710
450	16165	19678
451	16203	19644
452	16241	19612
453	16281	19581
454	16322	19551
455	16358	19515
456	16395	19480
457	16428	19441
458	16464	19405
459	16496	19366
460	16529	19326
461	16564	19289
462	16600	19254
463	16634	19215
464	16668	19178
465	16705	19142
466	16740	19106
467	16776	19070
468	16811	19034
469	16844	18995
470	16878	18956
471	16914	18921
472	16947	18882
473	16984	18847
474	17022	18814
475	17061	18782
476	17101	18750
477	17141	18719
478	17176	18682
479	17211	18646
480	17248	18610
481	17282	18573
482	17314	18533
483	17351	18498
484	17386	18461
485	17422	18425
486	17466	18398
487	17495	18355
488	17529	18317
489	17564	18281
490	17600	18245
491	17639	18213
492	17676	18178
493	17712	18142
494	17747	18105
495	17782	18068
496	17814	18029
497	17851	17994
498	17887	17959
499	17927	17927
500	17962	17891
501	17998	17854
502	18033	17818
503	18069	17782
504	18105	17747
505	18138	17708
506	18170	17669
507	18205	17632
508	18240	17595
509	18274	17558
510	18310	17521
511	18344	17484
512	18376	17445
513	18409	17406
514	18443	17368
515	18475	17329
516	18508	17291
517	18544	17255
518	18586	17225
519	18639	17205
520	18678	17173
521	18714	17137
522	18755	17106
523	18796	17074
524	18837	17043
525	18881	17014
526	18923	16984
527	18966	16954
528	19009	16924
529	19051	16894
530	19091	16862
531	19136	16834
532	19172	16798
533	19212	16765
534	19245	16726
535	19281	16691
536	19317	16655
537	19351	16618
538	19391	16585
539	19433	16554
540	19472	16521
541	19511	16487
542	19553	16456
543	19594	16424
544	19630	16388
545	19667	16353
546	19702	16316
547	19736	16278
548	19778	16248
549	19815	16212
550	19849	16175
551	19887	16140
552	19925	16106
553	19962	16071
554	19997	16034
555	20033	15997
556	20066	15959
557	20099	15920
558	20132	15882
559	20167	15845
560	20200	15807
561	20237	15772
562	20269	15732
563	20301	15694
564	20332	15654
565	20369	15618
566	20406	15584
567	20446	15551
568	20485	15517
569	20524	15483
570	20563	15449
571	20601	15415
572	20640	15381
573	20679	15347
574	20718	15313
575	20756	15278
576	20792	15242
577	20829	15207
578	20866	15172
579	20907	15140
580	20951	15109
581	20988	15073
582	21024	15038
583	21061	15002
584	21098	14966
585	21137	14933
586	21175	14898
587	21211	14862
588	21253	14830
589	21290	14795
590	21330	14761
591	21366	14725
592	21400	14688
593	21434	14650
594	21468	14612
595	21505	14577
596	21541	14541
597	21578	14505
598	21616	14471
599	21649	14432
600	21690	14400
601	21724	14362
602	21761	14327
603	21799	14292
604	21838	14258
605	21878	14224
606	21918	14191
607	21960	14158
608	21998	14124
609	22037	14089
610	22071	14052
611	22108	14016
612	22143	13979
613	22182	13945
614	22219	13909
615	22259	13875
616	22294	13839
617	22329	13802
618	22362	13764
619	22395	13726
620	22428	13688
621	22464	13652
622	22497	13613
623	22528	13574
624	22562	13537
625	22594	13498
626	22626	13460
627	22659	13422
628	22692	13384
629	22726	13347
630	22759	13309
631	22795	13273
632	22831	13236
633	22868	13201
634	22906	13166
635	22943	13131
636	22978	13094
637	23011	13056
638	23049	13021
639	23082	12984
640	23115	12946
641	23155	12912
642	23193	12877
643	23231	12842
644	23266	12805
645	23302	12769
646	23338	12733
647	23373	12696
648	23405	12658
649	23442	12623
650	23477	12586
651	23512	12549
652	23548	12513
653	23582	12476
654	23618	12440
655	23653	12403
656	23688	12367
657	23729	12333
658	23765	12297
659	23799	12260
660	23834	12223
661	23865	12185
662	23899	12148
663	23932	12110
664	23962	12071
665	23993	12032
666	24024	11994
667	24061	11958
668	24095	11921
669	24130	11885
670	24164	11848
671	24196	11810
672	24228	11772
673	24260	11734
674	24294	11697
675	24330	11661
676	24368	11626
677	24403	11589
678	24438	11553
679	24470	11515
680	24501	11477
681	24535	11440
682	24568	11402
683	24602	11365
684	24637	11329
685	24670	11292
686	24702	11254
687	24736	11217
688	24771	11181
689	24810	11146
690	24851	11112
691	24891	11078
692	24929	11043
693	24961	11006
694	24992	10967
695	25025	10930
696	25058	10893
697	25091	10856
698	25128	10820
699	25167	10786
700	25200	10749
701	25234	10711
702	25267	10674
703	25299	10637
704	25334	10600
705	25371	10565
706	25408	10529
707	25448	10495
708	25481	10458
709	25513	10420
710	25549	10384
711	25583	10348
712	25619	10312
713	25655	10276
714	25688	10239
715	25722	10202
716	25756	10165
717	25790	10129
718	25822	10091
719	25856	10055
720	25893	10019
721	25926	9982
722	25958	9945
723	25988	9907
724	26020	9869
725	26053	9832
726	26086	9795
727	26124	9760
728	26154	9722
729	26184	9684
730	26218	9648
731	26249	9610
732	26280	9573
733	26313	9536
734	26346	9499
735	26380	9462
736	26412	9425
737	26445	9388
738	26478	9351
739	26512	9315
740	26547	9278
741	26582	9242
742	26615	9206
743	26646	9168
744	26678	9131
745	26710	9094
746	26746	9058
747	26780	9022
748	26814	8985
749	26846	8948
750	26879	8912
751	26913	8875
752	26947	8839
753	26981	8802
754	27013	8765
755	27043	8728
756	27078	8692
757	27110	8655
758	27141	8618
759	27173	8581
760	27206	8544
761	27238	8507
762	27271	8471
763	27307	8435
764	27341	8398
765	27376	8363
766	27408	8326
767	27442	8289
768	27471	8252
769	27504	8215
770	27536	8178
771	27566	8141
772	27601	8105
773	27634	8069
774	27667	8032
775	27702	7996
776	27733	7959
777	27765	7922
778	27798	7886
779	27829	7849
780	27864	7813
781	27897	7777
782	27930	7740
783	27968	7705
784	28000	7668
785	28033	7632
786	28068	7596
787	28103	7560
788	28137	7524
789	28170	7488
790	28203	7452
791	28235	7415
792	28268	7378
793	28300	7342
794	28333	7306
795	28366	7269
796	28399	7233
797	28432	7197
798	28467	7161
799	28498	7124
800	28531	7088
801	28564	7051
802	28597	7015
803	28629	6979
804	28662	6943
805	28695	6906
806	28725	6869
807	28757	6833
808	28791	6797
809	28822	6760
810	28853	6724
811	28887	6688
812	28917	6651
813	28948	6614
814	28983	6579
815	29015	6542
816	29049	6506
817	29081	6470
818	29113	6434
819	29155	6399
820	29185	6363
821	29218	6327
822	29251	6291
823	29281	6254
824	29312	6217
825	29346	6181
826	29378	6145
827	29412	6109
828	29446	6073
829	29479	6037
830	29513	6002
831	29546	5966
832	29578	5929
833	29608	5893
834	29640	5857
835	29675	5821
836	29709	5785
837	29750	5751
838	29784	5715
839	29819	5679
840	29853	5644
841	29887	5608
842	29921	5572
843	29958	5537
844	29991	5501
845	30026	5465
846	30056	5429
847	30090	5393
848	30122	5357
849	30154	5321
850	30188	5285
851	30219	5249
852	30251	5213
853	30283	5177
854	30313	5140
855	30347	5105
856	30380	5069
857	30411	5033
858	30445	4997
859	30479	4961
860	30510	4925
861	30544	4889
862	30575	4853
863	30610	4818
864	30641	4782
865	30673	4746
866	30704	4710
867	30739	4674
868	30774	4639
869	30810	4603
870	30846	4568
871	30882	4533
872	30916	4497
873	30951	4462
874	30986	4426
875	31023	4391
876	31060	4356
877	31093	4320
878	31125	4284
879	31160	4249
880	31192	4213
881	31224	4177
882	31258	4141
883	31289	4105
884	31321	4070
885	31351	4033
886	31382	3997
887	31413	3962
888	31445	3926
889	31478	3890
890	31512	3855
891	31547	3819
892	31579	3783
893	31613	3748
894	31646	3712
895	31683	3677
896	31716	3641
897	31752	3606
898	31786	3571
899	31819	3535
900	31851	3499
901	31884	3464
902	31916	3428
903	31947	3392
904	31980	3357
905	32025	3322
906	32051	3286
907	32082	3250
908	32115	3215
909	32151	3179
910	32183	3144
911	32217	3108
912	32247	3072
913	32280	3037
914	32316	3002
915	32349	2966
916	32380	2930
917	32416	2895
918	32446	2859
919	32476	2824
920	32506	2788
921	32538	2752
922	32571	2717
923	32603	2681
924	32636	2646
925	32668	2610
926	32700	2575
927	32734	2539
928	32766	2504
929	32797	2468
930	32828	2433
931	32861	2397
932	32894	2362
933	32925	2326
934	32956	2291
935	32990	2255
936	33022	2220
937	33051	2184
938	33082	2149
939	33115	2113
940	33146	2078
941	33178	2042
942	33209	2007
943	33240	1971
944	33270	1936
945	33302	1901
946	33333	1865
947	33366	1830
948	33396	1794
949	33431	1759
950	33464	1724
951	33496	1688
952	33527	1653
953	33561	1618
954	33591	1582
955	33625	1547
956	33657	1512
957	33691	1477
958	33725	1441
959	33758	1406
960	33789	1371
961	33820	1335
962	33854	1300
963	33887	1265
964	33919	1230
965	33948	1194
966	33980	1159
967	34010	1124
968	34041	1089
969	34071	1053
970	34102	1018
971	34134	983
972	34166	948
973	34197	912
974	34227	877
975	34261	842
976	34291	807
977	34324	772
978	34354	736
979	34388	701
980	34419	666
981	34450	631
982	34482	596
983	34515	561
984	34555	526
985	34584	491
986	34616	455
987	34649	420
988	34682	385
989	34713	350
990	34747	315
991	34779	280
992	34810	245
993	34841	210
994	34873	175
995	34904	140
996	34937	105
997	34970	70
998	35000	35
999	35032	0
